,jw_entity_id,id,title,poster,description,release_year,type,imdb_popularity,tmdb_popularity,imdb_score,imdb_votes,tmdb_score,imdb_id,tmdb_id,genre_ids,age_certification,runtime,production_countries,seasons,streaming_app
663,ts260304,260304,Otherside Picnic,/poster/226702139/{profile},"Moments from death, Sorawo is saved by the mysterious Toriko in the world of the Otherside. Entranced by its beauty, she discovers that this dimension is inhabited by monsters once thought imaginary.",2021.0,show,,,5.9,323.0,,tt13067534,,"[12, 2, 7, 9, 14]",,24.0,['JP'],1,Crunchyroll
664,ts87519,87519,Hitori Bocchi no Marumaru Seikatsu,/poster/123823587/{profile},"Hitori Bocchi suffers from extreme social anxiety, she's not good at talking to people, takes pretty extreme actions, is surprisingly adept at avoiding people, her legs cramp when she overexerts herself, gets full of herself when alone, will vomit when exposed to extreme tension and often comes up with plans. Now she is entering middle school and her only friend, Yawara Kai, is attending a different school. This leaves Bocchi alone, surrounded by new classmates with whom she must make friends before Kai will talk to her again.",2019.0,show,,11.236,7.1,398.0,8.702,tt9828562,85990,"[2, 3, 6]",,23.0,['JP'],1,Crunchyroll
665,ts88996,88996,NAMUAMIDABUTSU! -UTENA-,/poster/141474207/{profile},"The pain that everyone cannot escape when living: the living, old, sick, and death. The way to save it is through Buddhist enlightenment. At the end of a war, a prince who obtained the Buddhist enlightenment became the Shaka Nyorai and saved the world. Long time has passed since that, currently the latter age of decadence. Mara, the worry that once tried to destroy Shaka's enlightenment, has made a contract with the devil in order to seek revenge against Shaka. He begins to control people with worries.

Meanwhile, a team centering around Shaka, called the Thirteen Buddhas, and the two benevolent deities who protect the dharma, Taishakuten and Bonten, have stood up to fight against Mara to protect people from worries. A battle between Mara and the Buddhist gods that involves people begins now!",2019.0,show,,8.658,5.7,19.0,,tt9883660,87474,[2],,23.0,['JP'],1,Crunchyroll
666,ts79352,79352,My Sweet Tyrant,/poster/138957637/{profile},"The romantic comedy follows the everyday life of an extremely tsundere boy named Atsuhiro ""Akkun"" Kagari and his girlfriend Non ""Nontan"" Katagiri. Akkun's behavior is harsh towards Nontan with verbal abuse and neglect, but he actually is head-over-heels for her and habitually acts like a stalker by tailing her or eavesdropping. Nontan is oblivious to Akkun's stalker ways, and thinks his actions are cute.",2018.0,show,,8.272,6.6,178.0,6.143,tt10580768,77723,"[2, 3, 13]",,3.0,['JP'],1,Crunchyroll
667,ts90309,90309,Are You Lost?,/poster/142856074/{profile},"Because of a plane crash … starting today, we’re spending the springtime of our lives on a desert island!! There’s nothing here, so we have to make everything!! And eat everything!! (Ugh!) Check out our high-school-girl survival story of courage and knowledge. We’re actually doing pretty well! We learn how to eat cicadas, how to build traps, a simple allergy test, how to eat hermit crabs, etc.",2019.0,show,,19.643,6.2,344.0,8.036,tt10427920,88805,"[3, 6, 2, 1]",,12.0,['JP'],1,Crunchyroll
668,ts58504,58504,Gingitsune: Messenger Fox of the Gods,/poster/11998381/{profile},"Gintarou is a fox spirit that has been protecting the small Inari temple since the Edo era. Saeki Makoto's family possesses the power to see the gods' agent, but the ability is limited to one living relative at a time. When Makoto's mother passed away while she was still young, Makoto inherited the ability as the sole remaining family member. With the help of fox spirit's power, Makoto and Gintarou help the people of their community, in spite of their many differences.",2013.0,show,,3.992,7.4,103.0,7.6,tt3196320,72911,"[2, 3, 13, 6, 7]",TV-PG,24.0,['JP'],1,Crunchyroll
669,ts55113,55113,White Album 2,/poster/139190407/{profile},"One evening in fall, with one month left before the school festival, the last member of the ruined light music club, Haruki Kitahara, looks out the window and plays his guitar in the direction of the festival stage set up outside. This was the simple little adventure that the conscientious honor student had hoped for two and a half years to achieve before his graduation in half a year. But then, when a flowing piano melody and a bell-like singing voice joined the clumsy sound of his guitar...",2013.0,show,,6.569,7.2,356.0,6.6,tt2942224,70072,"[2, 6, 11, 13]",TV-MA,23.0,['JP'],1,Crunchyroll
670,ts82414,82414,Muhyo & Roji's Bureau of Supernatural Investigation,/poster/141536117/{profile},"Are you a victim of unwanted spirit possession? Is there a ghost you need sent up and away...or down to burn for all eternity? If the answer is yes, then you need Muhyo and Roji, experts in magic law. Serving justice to evil spirits is their specialty.",2018.0,show,,3.989,7.1,84.0,8.2,tt9286928,80853,"[1, 2, 3]",TV-14,24.0,['JP'],2,Crunchyroll
671,ts75763,75763,Evil or Live,/poster/141674316/{profile},"Severe internet addiction has become an epidemic infecting the nation's youth, ultimately resulting in their extreme dependence on the world wide web. Those who are too far gone are enrolled at Elite Reeducation Academy in order to help them grow into successful adults. Hibiki is one such teenager who awakens in the facility unaware of how he came to be there. He learns from the head instructor that he was knocked out and brought to the school at his mother's behest, concerned with how belligerent her son was becoming as a result of his internet addiction.

Stuck in a place more akin to a prison than an academy, and with no escape from the abuses of the instructors, Hibiki decides to end his life by jumping from the roof. But as fate would have it, he meets a mysterious man named Shin who promises to give his life meaning...",2017.0,show,,3.751,5.2,107.0,7.0,tt7918846,74088,"[6, 2]",,23.0,"['CN', 'JP']",1,Crunchyroll
672,ts3077,3077,Ceres: Celestial Legend,/poster/240017693/{profile},"Aya Mikage and her twin brother Aki are soon driven apart by the forces of fate…

On their sixteenth birthday, Aya and Aki are called to the family home to be given a special present. What they thought was a birthday party, however, was really a test—one which Aya failed. She was found to possess the reincarnated spirit of an ageless celestial maiden (tennyo), one bent on the recovery of her heavenly raiment (hagoromo) and the destruction of the Mikage family. Aya quickly finds herself separated from her beloved brother, and hunted by her own family.",2000.0,show,,2.999,7.2,481.0,8.0,tt0261463,26935,"[1, 14, 3, 2, 6, 7, 9, 13]",TV-MA,22.0,['JP'],1,Crunchyroll
